target, time, size
20389,2350,1000
10572,2350,1000
9440,2350,1000
9062,2350,1000
9440,2350,1000
9440,2350,1000
9439,2350,1000
9440,2350,1000
11328,2350,1000
9440,2350,1000
18502,2400,1000
16614,2400,1000
12083,2400,1000
12082,2400,1000
15103,2400,1000
11705,2400,1000
9817,2400,1000
9817,2400,1000
9817,2400,1000
9440,2400,1000
21900,2450,1000
11328,2450,1000
9817,2450,1000
9817,2450,1000
9439,2450,1000
9440,2450,1000
9440,2450,1000
9439,2450,1000
9440,2450,1000
9440,2450,1000
20767,2500,1000
11705,2500,1000
9817,2500,1000
9817,2500,1000
10194,2500,1000
10195,2500,1000
10195,2500,1000
9817,2500,1000
10195,2500,1000
10195,2500,1000
23788,2550,1000
14348,2550,1000
14348,2550,1000
14348,2550,1000
13970,2550,1000
13970,2550,1000
14348,2550,1000
13971,2550,1000
13970,2550,1000
16236,2550,1000
33982,2600,1000
10950,2600,1000
10195,2600,1000
9817,2600,1000
10194,2600,1000
14726,2600,1000
14348,2600,1000
13971,2600,1000
14348,2600,1000
10572,2600,1000
21145,2650,1000
12460,2650,1000
10194,2650,1000
9817,2650,1000
10195,2650,1000
10195,2650,1000
10573,2650,1000
10194,2650,1000
10195,2650,1000
10195,2650,1000
31339,2700,1000
11327,2700,1000
10572,2700,1000
10194,2700,1000
12083,2700,1000
10195,2700,1000
10194,2700,1000
10195,2700,1000
10195,2700,1000
10194,2700,1000
21145,2750,1000
12838,2750,1000
10572,2750,1000
10572,2750,1000
10573,2750,1000
10572,2750,1000
10573,2750,1000
10572,2750,1000
10573,2750,1000
10950,2750,1000
32095,2800,1000
12460,2800,1000
10950,2800,1000
10950,2800,1000
10950,2800,1000
10950,2800,1000
10572,2800,1000
10950,2800,1000
10572,2800,1000
10572,2800,1000
38891,2850,1000
12083,2850,1000
11327,2850,1000
10950,2850,1000
10950,2850,1000
10950,2850,1000
10949,2850,1000
11328,2850,1000
10950,2850,1000
10950,2850,1000
21144,2900,1000
12460,2900,1000
11328,2900,1000
14348,2900,1000
19256,2900,1000
16614,2900,1000
16614,2900,1000
16614,2900,1000
16236,2900,1000
13971,2900,1000
37759,2950,1000
13593,2950,1000
12082,2950,1000
11705,2950,1000
11705,2950,1000
11705,2950,1000
11705,2950,1000
11705,2950,1000
12083,2950,1000
11705,2950,1000
22655,3000,1000
13216,3000,1000
11705,3000,1000
12082,3000,1000
11705,3000,1000
11705,3000,1000
11705,3000,1000
11705,3000,1000
11705,3000,1000
11705,3000,1000
34360,3050,1000
12838,3050,1000
12460,3050,1000
12082,3050,1000
11705,3050,1000
11706,3050,1000
12082,3050,1000
12083,3050,1000
11706,3050,1000
12082,3050,1000
38135,3100,1000
13593,3100,1000
12082,3100,1000
12083,3100,1000
12083,3100,1000
12460,3100,1000
12082,3100,1000
11705,3100,1000
12083,3100,1000
12082,3100,1000
23788,3150,1000
14726,3150,1000
12838,3150,1000
12461,3150,1000
12460,3150,1000
12461,3150,1000
12460,3150,1000
12460,3150,1000
12460,3150,1000
12460,3150,1000
40401,3200,1000
13970,3200,1000
12837,3200,1000
12837,3200,1000
12838,3200,1000
12460,3200,1000
12838,3200,1000
12460,3200,1000
12838,3200,1000
12460,3200,1000
25298,3250,1000
15103,3250,1000
13215,3250,1000
12838,3250,1000
12838,3250,1000
12837,3250,1000
12838,3250,1000
12838,3250,1000
12838,3250,1000
13215,3250,1000
41534,3300,1000
13970,3300,1000
13593,3300,1000
12838,3300,1000
12837,3300,1000
12838,3300,1000
13216,3300,1000
13215,3300,1000
12837,3300,1000
12838,3300,1000
24921,3350,1000
15858,3350,1000
18502,3350,1000
13593,3350,1000
13971,3350,1000
13593,3350,1000
13593,3350,1000
13593,3350,1000
13593,3350,1000
13593,3350,1000
38136,3400,1000
14348,3400,1000
13593,3400,1000
13593,3400,1000
13593,3400,1000
13593,3400,1000
13593,3400,1000
13593,3400,1000
13971,3400,1000
13970,3400,1000
39268,3450,1000
15481,3450,1000
13970,3450,1000
13970,3450,1000
13970,3450,1000
13971,3450,1000
17369,3450,1000
13970,3450,1000
13971,3450,1000
13593,3450,1000
31717,3500,1000
20012,3500,1000
13970,3500,1000
13593,3500,1000
13593,3500,1000
13971,3500,1000
13970,3500,1000
13593,3500,1000
13971,3500,1000
13216,3500,1000
46820,3550,1000
34360,3550,1000
25675,3550,1000
20767,3550,1000
21522,3550,1000
22278,3550,1000
22277,3550,1000
22278,3550,1000
21522,3550,1000
22277,3550,1000
67587,3600,1000
26053,3600,1000
20767,3600,1000
20389,3600,1000
20389,3600,1000
20012,3600,1000
20390,3600,1000
20389,3600,1000
20012,3600,1000
20012,3600,1000
38136,3650,1000
15480,3650,1000
14348,3650,1000
14348,3650,1000
14348,3650,1000
13970,3650,1000
14348,3650,1000
13971,3650,1000
13970,3650,1000
13970,3650,1000
42666,3700,1000
15103,3700,1000
14348,3700,1000
14348,3700,1000
14725,3700,1000
14726,3700,1000
14726,3700,1000
14348,3700,1000
14726,3700,1000
14348,3700,1000
24921,3750,1000
16236,3750,1000
15480,3750,1000
15481,3750,1000
15481,3750,1000
15480,3750,1000
15481,3750,1000
15481,3750,1000
15103,3750,1000
15481,3750,1000
39646,3800,1000
15858,3800,1000
15103,3800,1000
15104,3800,1000
14726,3800,1000
14726,3800,1000
14726,3800,1000
14726,3800,1000
15103,3800,1000
15103,3800,1000
24166,3850,1000
17369,3850,1000
16236,3850,1000
15859,3850,1000
16236,3850,1000
15858,3850,1000
16236,3850,1000
16236,3850,1000
19635,3850,1000
23410,3850,1000
47575,3900,1000
16991,3900,1000
16236,3900,1000
16236,3900,1000
16236,3900,1000
15858,3900,1000
16236,3900,1000
16236,3900,1000
16236,3900,1000
16236,3900,1000
41534,3950,1000
16236,3950,1000
15481,3950,1000
15859,3950,1000
15858,3950,1000
15481,3950,1000
15481,3950,1000
15481,3950,1000
15104,3950,1000
15103,3950,1000
27186,4000,1000
16614,4000,1000
15858,4000,1000
15858,4000,1000
15858,4000,1000
15858,4000,1000
15481,4000,1000
15481,4000,1000
15859,4000,1000
15859,4000,1000
41534,4050,1000
17368,4050,1000
15858,4050,1000
15859,4050,1000
15858,4050,1000
15859,4050,1000
15858,4050,1000
15859,4050,1000
15858,4050,1000
15858,4050,1000
27186,4100,1000
18124,4100,1000
17368,4100,1000
16991,4100,1000
16992,4100,1000
16992,4100,1000
16991,4100,1000
16992,4100,1000
16991,4100,1000
16991,4100,1000
45310,4150,1000
17369,4150,1000
16614,4150,1000
16236,4150,1000
16236,4150,1000
16614,4150,1000
16236,4150,1000
16236,4150,1000
16236,4150,1000
16236,4150,1000
27564,4200,1000
17369,4200,1000
16614,4200,1000
16614,4200,1000
16236,4200,1000
20011,4200,1000
16613,4200,1000
16614,4200,1000
16614,4200,1000
16236,4200,1000
41911,4250,1000
18124,4250,1000
16991,4250,1000
16614,4250,1000
16613,4250,1000
16613,4250,1000
16614,4250,1000
16991,4250,1000
16614,4250,1000
16613,4250,1000
43422,4300,1000
18123,4300,1000
16991,4300,1000
16991,4300,1000
16991,4300,1000
16613,4300,1000
16992,4300,1000
16991,4300,1000
16991,4300,1000
16613,4300,1000
38136,4350,1000
18502,4350,1000
17368,4350,1000
16991,4350,1000
16991,4350,1000
16991,4350,1000
17368,4350,1000
16991,4350,1000
17368,4350,1000
17369,4350,1000
41157,4400,1000
18124,4400,1000
17747,4400,1000
17369,4400,1000
17368,4400,1000
17369,4400,1000
17369,4400,1000
17369,4400,1000
16991,4400,1000
17369,4400,1000
29451,4450,1000
18879,4450,1000
17746,4450,1000
17368,4450,1000
17368,4450,1000
17368,4450,1000
17746,4450,1000
17746,4450,1000
17369,4450,1000
17746,4450,1000
44555,4500,1000
18879,4500,1000
17746,4500,1000
17747,4500,1000
17369,4500,1000
18124,4500,1000
17746,4500,1000
17747,4500,1000
17369,4500,1000
17746,4500,1000
43422,4550,1000
18502,4550,1000
17747,4550,1000
18124,4550,1000
17747,4550,1000
18124,4550,1000
18124,4550,1000
18124,4550,1000
